FileName,gt,inf,cer
/home/nsbb/travail/claude/T527/t527-stt/testset/worst30/modelhouse_2m_results_8.51_top30_avg_14.48/sk_2025-12-02_14-37-56_12345567_101_105_wallpad_1803308320_최대_성곡_알려어줘.mp3,세대소독알려줘,최대천곡알려줘,0.4285714285714285
/home/nsbb/travail/claude/T527/t527-stt/testset/worst30/modelhouse_2m_results_8.51_top30_avg_14.48/sk_2025-12-02_14-37-23_12345567_101_105_wallpad_1803275320_원자_크해줘.mp3,뭔데?해줘.,원데트해줘,0.4
/home/nsbb/travail/claude/T527/t527-stt/testset/worst30/modelhouse_2m_results_8.51_top30_avg_14.48/sk_2025-12-02_14-38-15_12345567_101_105_wallpad_1803327320_오늘_경자_뉴스_알려줘.mp3,오늘경제뉴스알려줘,오전검색뉴스알려줘,0.3333333333333333
/home/nsbb/travail/claude/T527/t527-stt/testset/worst30/modelhouse_2m_results_8.51_top30_avg_14.48/jy_2025-12-02_14-49-20_12345567_101_105_wallpad_1570484813_칠월_오일_금지_알려줘.mp3,칠월오일공지알려줘,칠월오후에든지알려줘,0.3
/home/nsbb/travail/claude/T527/t527-stt/testset/worst30/modelhouse_2m_results_8.51_top30_avg_14.48/sk_2025-12-02_14-40-05_12345567_101_105_wallpad_1803437320_편하이_너무_밝아.mp3,화면이너무밝아,편하이너무밝아,0.2857142857142857
/home/nsbb/travail/claude/T527/t527-stt/testset/worst30/modelhouse_2m_results_8.51_top30_avg_14.48/sk_2025-12-02_14-37-10_12345567_101_105_wallpad_1803262320_알리사고_전화번호가_어떻게_되지.mp3,관리사무소전화번호가어떻게되지?,아림샴소전화번호가어떻게되지,0.2666666666666666
/home/nsbb/travail/claude/T527/t527-stt/testset/worst30/modelhouse_2m_results_8.51_top30_avg_14.48/jy_2025-12-02_14-50-15_12345567_101_105_wallpad_1570539813_면_닫아줘.mp3,응닫아줘,응받아줘,0.25
/home/nsbb/travail/claude/T527/t527-stt/testset/worst30/modelhouse_2m_results_8.51_top30_avg_14.48/sk_2025-12-02_14-39-31_12345567_101_105_wallpad_1803403320_살려줘_모아줘_기상.mp3,살려줘도와줘비상,살려좀도와주비상,0.25
/home/nsbb/travail/claude/T527/t527-stt/testset/worst30/modelhouse_2m_results_8.51_top30_avg_14.48/sk_2025-12-02_14-39-03_12345567_101_105_wallpad_1803375320_응_닫아줘.mp3,응닫아줘,앱닫아줘,0.25
/home/nsbb/travail/claude/T527/t527-stt/testset/worst30/modelhouse_2m_results_8.51_top30_avg_14.48/sk_2025-12-02_14-40-17_12345567_101_105_wallpad_1803449320_알림은_꺼줘.mp3,알림음꺼줘,알림은꺼줘,0.2
