FileName,gt,inf,cer,process_time
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-08-06_12345555_101_101_wallpad_426811813_알리사무서_전화번호_뭐야.wav,관리사무소전화번호뭐야?,동사무소전화번호뭐야,0.18181818181818182,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-08-16_12345555_101_101_wallpad_426820813_관리사무서_전화번호_알려줘.wav,관리사무소전화번호알려줘,관리사무소전화번호알려줘,0.0,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-08-25_12345555_101_101_wallpad_426830813_더이상무사_번호가_뭐지.wav,관리사무소번호가뭐지?,어리사무소번호가뭐지,0.1,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-08-33_12345555_101_101_wallpad_426838813_관리사호소_번호_알려줘.wav,관리사무소번호알려줘,관리사무소번호알려줘,0.0,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-08-42_12345555_101_101_wallpad_426846813_관리소_전화번호_알려줘.wav,관리소전화번호알려줘,관리소전화번호알려줘,0.0,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-08-50_12345555_101_101_wallpad_426854813_관리수_전화번호_말해줘.wav,관리소전화번호말해줘,관리소전화번호말해줘,0.0,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-09-00_12345555_101_101_wallpad_426864813_뭔데_해줘.wav,"뭔데?,해줘",뭔데해줘,0.0,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-09-07_12345555_101_101_wallpad_426871813_알려줘.wav,알려줘,알려줘,0.0,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-09-14_12345555_101_101_wallpad_426878813_됐어.wav,됐어,됐어,0.0,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-09-22_12345555_101_101_wallpad_426887813_뭐지_알려줘.wav,뭐지?알려줘,뭐지알려줘,0.0,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-09-30_12345555_101_101_wallpad_426895813_응_말해줘.wav,응말해줘,응말해줘,0.0,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-09-38_12345555_101_101_wallpad_426902813_아니_괜찮아.wav,아니괜찮아,아니괜찮아,0.0,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-09-45_12345555_101_101_wallpad_426909813_만화를_틀려도_돼.wav,안알려줘도돼,안알려줘도돼,0.0,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-09-52_12345555_101_101_wallpad_426917813_괜찮아.wav,괜찮아,괜찮아,0.0,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-10-01_12345555_101_101_wallpad_426926813_지나_공지사항_알려줘.wav,지난공지사항알려줘,지단공지사항알려줘,0.1111111111111111,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-10-10_12345555_101_101_wallpad_426934813_지난번_공지사항_뭐였지.wav,지난번공지사항뭐였지?,지난번공지사항뭐였지,0.0,0.009472474455833435
/nas04/nlp_sk/STT/data/test/HJY/2025-11-19_09-10-19_12345555_101_101_wallpad_426943813_이번_주_공지사항_있었어.wav,이번주공지사항있었어?,이번주공기사항있었어,0.1,0.009153604507446289
